起始节点,目标节点,关系
结构型模型的特点,结构方程中的变量的系数称为结构参数，结构参数反映了结构方程中的解释变量对被解释变量的直接影响程度。所有的结构参数组成的矩阵称为结构参数矩阵，因此结构型模型有明确的经济意义，可直接分析解释变量变动对被解释变量的作用,包含
结构型模型的特点,结构型模型具有偏倚性问题，所以不能直接用OLS法对结构型模型的未知参数进行估计,包含
结构型模型的特点,利用联立方程组进行预测，是通过前定变量的未来值来预测内生变量的未来值，由于在结构方程的右端出现了内生变量，所以不能直接用结构型模型进行预测,包含
联立方程模型的种类,简化型模型的特点,包含
简化型模型的特点,在简化型模型中每一个方程的右端不再出现内生变量，而只有前定变量作为解释变量,包含
简化型模型的特点,简化型模型中的前定变量与随机误差项不相关。事实上，因为简化型模型的随机误差项是结构型模型随机误差项的线性函数，而在结构型模型中的前定变量与随机误差项不相关，所以在简化型模型中同样有前定变量与随机误差项不相关。简化型模型中每个方程的解释变量全是前定变量，从而避免了联立方程偏倚。因此，从理论上讲可以对简化型模型的参数运用OLS法进行估计，只不过注意估计出的是简化型模型的参数估计值。但简化型模型中的参数是原结构型模型参数的函数，由估计的简化型模型参数，有可能求解出结构型参数。,包含
简化型模型的特点,简化型模型的参数综合反映了前定变量对内生变量的直接影响与间接影响，其参数表现了前定变量对内生变量的影响乘数,包含
简化型模型的特点,在已知前定变量取值的条件下，可利用简化型模型参数的估计式直接对内生变量进行预测分析,包含
联立方程模型的种类,递归型模型,包含
联立方程模型的识别,对模型识别的理解,包含
对模型识别的理解,简化型模型与结构型模型的关系,包含
简化型模型与结构型模型的关系,简化型模型中的前定变量与随机扰动项不相关，避免了联立方程偏倚，因此对简化型模型一般可以运用OLS法估计其参数,包含
对模型识别的理解,识别的定义,包含
对模型识别的理解,模型识别的定义,包含
识别的定义,识别是模型的设定问题，如果结构型模型参数的估计值能由简化型模型的参数求解出，则称这个结构方程是可识别的，否则是不可识别的,包含
模型识别的定义,如果结构型模型中的每一个结构方程都是可识别的，则称该联立方程模型是可识别的。在结构型模型中，只要有一个结构方程不可识别，则该联立方程模型就是不可识别的,包含
联立方程模型的识别,联立方程模型识别的类型,包含
联立方程模型识别的类型,不可识别,包含
联立方程模型识别的类型,恰好识别,包含
联立方程模型识别的类型,过度识别,包含
不可识别,如果结构型模型中某个方程参数的估计值不能够由简化型模型参数估计值求解出，则称该方程是不可识别,包含
恰好识别,如果结构型模型中某个方程的参数能够由简化型模型参数估计值惟一地解出，则称该方程是恰好识别。,包含
过度识别,如果结构型模型中某个方程的参数能够由简化型模型参数估计值解出，但求解出的值不惟一，则称该方程是过度识别。,包含
联立方程模型的识别,联立方程模型识别的方法,包含
联立方程模型识别的方法,模型识别的阶条件,包含
联立方程模型识别的方法,模型识别的秩条件,包含
联立方程模型的识别,模型识别的一般步骤和经验方法,包含
模型识别的一般步骤和经验方法,模型识别的一般步骤,包含
模型识别的一般步骤和经验方法,模型识别的经验方法,包含
联立方程模型的估计,联立方程模型估计方法的选择,包含
联立方程模型估计方法的选择,研究目的与估计方法,包含
研究目的与估计方法,如果研究目的是为了作经济结构分析，验证某种经济理论，应当力争尽可能准确估计结构型参数,包含
研究目的与估计方法,如果研究目的是为了评价政策或论证某些经济政策的效应，应当力争准确估计简化型参数,包含
研究目的与估计方法,如果研究目的只是为了作经济预测，只要直接估计简化型参数即可。,包含
联立方程模型估计方法的选择,估计方法,包含
估计方法,单一方程估计法,包含
单一方程估计法,单一方程估计法是指对方程组模型中的每一个方程逐一进行估计,包含
单一方程估计法,普通最小二乘法、工具变量法、间接最小二乘估计法、二段最小二乘估计法、有限信息最大似然法等,包含
联立方程模型估计方法的选择,单一方程估计法特点,包含
单一方程估计法特点,估计方程的参数只考虑该方程本身所带来的（有限）信息，不考虑整个模型所提供的全部信息，所以也称有限信息法,包含
估计方法,系统估计法,包含
系统估计法,系统估计法是指在考虑整个模型所提供的全部信息的情况下，对模型中的全部方程同时进行估计的方法。,包含
联立方程模型估计方法的选择,系统估计法,包含
联立方程模型估计方法的选择,系统估计法特点,包含
联立方程模型估计方法的选择,方法比较,包含
联立方程模型估计方法的选择,方法选择,包含
系统估计法,三段最小二乘法（3SLS）、似乎不相关法（SUR）、完全信息最大似然估计法（FIML）等,包含
系统估计法特点,该方法在估计模型时，用到了模型全部信息，所以也称完全信息法,包含
联立方程模型的估计,递归型模型的估计——OLS法,包含
递归型模型的估计——OLS法,递归型模型,包含
递归型模型,递归型模型中各内生变量之间的联系只是单向的，都满足OLS基本假定,包含
联立方程模型的估计,恰好识别方程的估计——间接最小二乘法（ILS）,包含
恰好识别方程的估计——间接最小二乘法（ILS）,ILS的基本思想,包含
恰好识别方程的估计——间接最小二乘法（ILS）,ILS的步骤,包含
ILS的基本思想,可以先用OLS法估计简化型参数，然后再求解出结构型参数,包含
联立方程模型的估计,过度识别方程的估计——二段最小二乘法（TSLS）,包含
过度识别方程的估计——二段最小二乘法（TSLS）,TSLS的基本思想,包含
过度识别方程的估计——二段最小二乘法（TSLS）,TSLS的步骤,包含
过度识别方程的估计——二段最小二乘法（TSLS）,TSLS的使用条件,包含
TSLS的基本思想,用与内生变量高度相关但不相关的变量替代内生变量作为解释变量,包含
TSLS的使用条件,结构方程必须可以识别,包含
TSLS的使用条件,结构方程中的随机误差项要满足OLS的基本假定,包含
TSLS的使用条件,结构方程中的所有前定变量不存在严重的多重共线性，而且与随机误差项不相关,包含
TSLS的使用条件,样本容量要足够大,包含
TSLS的使用条件,运用二段最小二乘法时应关注简化型模型的可决系数,包含
过度识别方程的估计——二段最小二乘法（TSLS）,TSLS的特性,包含
TSLS的特性,小样本时，TSLS法所得到的参数估计量是有偏的,包含
TSLS的特性,大样本时，TSLS法所得到的参数估计量具有一致性,包含
TSLS的特性,尽管TSLS法是针对过度识别而提出的，但对于恰好识别情况仍然可以使用，并且估计的结果与间接最小二乘法（ILS）估计结果一致。但在过度识别条件下，用TSLS法只能提供每个参数的唯一估计值，而用ILS法则能提供多个估计值,包含
案例分析,联立方程模型的估计,包含
联立方程模型的估计,EViews软件操作,包含
EViews软件操作,数据输入与时间范围确定,包含
数据输入与时间范围确定,编辑输入数据,包含
数据输入与时间范围确定,确定时间范围,包含
EViews软件操作,TSLS估计方法应用,包含
TSLS估计方法应用,打开估计方程对话框,包含
TSLS估计方法应用,选择估计方法,包含
EViews软件操作,Equation Specification窗口,包含
Equation Specification窗口,输入估计方程,包含
Equation Specification窗口,输入前定变量,包含
EViews软件操作,模型估计结果获取,包含
模型估计结果获取,进行估计并获得结果,包含
