起始节点,目标节点,关系
基本步骤,计算辅助回归的可决系数，(n-p)R^2渐近服从自由度为p的卡方分布，p为辅助回归的滞后阶数。做卡方检验,包含
基本步骤,"利用EViews作时间序列数据回归的异方差检验,可以在“Equation”回归结果中单击“Views/ Residual Diagnostics/ Heteroskedasticity Tests…”,在弹出的specification对话框中的检验类型中“Test type”选择“ARCH”检验，然后在滞后阶数对话框中“Number of lags”输入相应的数值，单击“OK”即可。EViews给出的检验结果，其中“Obs*R-squared”即为检验统计量。",包含
基本步骤,要求变量的观测值为大样本，并且是时间序列数据,包含
基本步骤,只能判断模型中是否存在异方差，而不能诊断出是哪一个变量引起的异方差,包含
基本思想,由OLS法得到残差，取绝对值，然后将对某个解释变量回归，根据回归模型的显著性和拟合优度来判断是否存在异方差,包含
特点,能对异方差的存在进行判断,包含
特点,还能对异方差随某个解释变量变化的函数形式进行诊断,包含
特点,要求变量的观测值为大样本,包含
基本步骤,根据样本数据建立回归模型，并求残差序列,包含
基本步骤,用残差绝对值对解释变量进行回归,包含
基本步骤,根据选择的函数形式作残差绝对值对解释变量的回归，用回归所得到的R^2、t、F等信息判断，若参数\beta显著地不为零，即认为存在异方差性,包含
共同思想,基于不同的假定，分析随机误差项的方差与解释变量之间的相关性,包含
价值,有的检验方法还能提供随机误差项的方差与解释变量之间关系的某些信息，这些信息对补救异方差性可能是有价值的,包含
前提,可以确定异方差的具体形式,包含
前提,\operatorname{Var}(u_{i}) = \sigma_{i}^{2} = \sigma^{2} f(X_{i}),包含
基本步骤,用 f(X_{i})去除等式的两端,包含
f(X_{i})的形式,f(X_{i})=X_i,包含
f(X_{i})的形式,f(X_{i})=X_i^2,包含
f(X_{i})的形式,f(X_{i})=(a_0+a_1X_i)^2,包含
缺陷,多数情况下，异方差的形式并不知道,包含
说明,方差性现象可视为模型设定偏误的一种特殊形式。因此，修正异方差性的一种有效方法是重新设定回归模型形式，以消除异方差性,包含
基本思想,对较小的残差平方给予较大的权数，对较大的残差平方给予较小的权数,包含
模型设定,\sum w_i e_i^2 = \sum w_i (Y_i - \hat{\beta}_1 - \hat{\beta}_2 X_i)^2,包含
参数估计,使得加权的残差平方和最小,包含
参数表示,\hat{\beta}_1^* = \bar{Y}^* - \hat{\beta}_2^* \bar{X}^* ，\hat{\beta}_2^* = \frac{\sum w_i (X_i - \bar{X}^*)(Y_i - \bar{Y}^*)}{\sum w_i (X_i - \bar{X}^*)^2},包含
性质,与加权最小二乘法实际上是等价的,包含
前提,经济意义成立的情况下,包含
作用,使测定变量值的尺度缩小,包含
作用,经过对数变换后的线性模型，其残差表示相对误差，而相对误差往往比绝对误差有较小的差异,包含
注意,取对数后变量的经济意义,包含
异方差性的概念,经济理解能力,考察
异方差性的后果,数学推演能力,考察
异方差性的检验,数据处理能力,考察
异方差性的检验,逻辑思维能力,考察
异方差性的检验,数学推演能力,考察
假设的函数形式,数学推演能力,考察
异方差性的补救措施,数学推演能力,考察
异方差性的补救措施,数据处理能力,考察
异方差性的补救措施,经济理解能力,考察
异方差性的补救措施,逻辑思维能力,考察
案例分析,实证分析能力,考察
案例分析,经济理解能力,考察
案例分析,软件使用能力,考察
案例分析,数据处理能力,考察
在存在多个解释变量的情况下，对模型Y_t=\beta_1+\beta_2X_{2t}+\beta_3X_{3t}+\beta_4X_{4t}进行检验时提出的原假设和检验方法分别是什么？,H0：a2=a3=0；F检验,解答为
常见的异方差分为递增与递减类型，这种分类的主要依据是什么？,X与Y的离散程度,解答为
对于n元回归（n≥2），在大样本情况下White检验的统计量自由度是多少？,2n+\binom{n}{2},解答为
哪一个不可以使用R2进行检验？,G-Q检验,解答为
对异方差性检验需要满足的前提条件中，哪个说法是错误的？,与样本大小无关,解答为
有关异方差存在时OLS估计的说法中，哪一个是正确的？,除异方差外的基本假定不受影响,解答为
在进行ARCH检验前，需要对样本进行什么操作？,估计滞后阶数,解答为
检验异方差的各个方法共有的特点是什么？,都分析样本残差与随机误差项的关系,解答为
关于White检验两种辅助回归的联系和区别，哪个说法是错误的？,均能够检验由哪个变量引起,解答为
在WLS估计中，对较小的σ2给予较大的权数的主要原因是什么？,样本变异程度,解答为
使用加权最小二乘估计模型，得到解释变量误差vi，哪些关系是正确的？," E(vi)=0、Cov(vI)=σ2 、 Cov(xi,vI)=0 、 Cov(vj,vI)=0、E(vv`)=σ2",解答为
加权最小二乘法进行模型修正后，其参数估计量满足哪些性质？,线性 、最小方差性、无偏性 、一致性、有效性,解答为
Glejser检验可以通过哪些信息判断是否存在异方差性？,t 检验、F 检验 、系数显著性、R2大小,解答为
G-Q检验的基本步骤包括哪些？,对变量取值排序、构造子样本，分别建立回归模型 、求解统计量值、对假设进行判断,解答为
在建模过程中加入过多变量会造成什么问题？,多重共线性,解答为
当模型中存在异方差性，会使得参数估计量的方差如何变化？,增大,解答为
已知模型中存在异方差，其形式为Var(ε)=σ2F(X)，模型变化后的残差平方和与加权最小二乘的残差平方和比较，相差多少？, σ2,解答为
不需要对辅助回归系数进行检验的方法是哪一个？,G-Q检验,解答为
Goldfeild-Quandt检验中，两部分残差平方和自由度均为c-k，其中c和k分别代表什么？,c 代表删除样本个数，k 代表参数个数,解答为
关于图示检验法，哪个说法是错误的？,图示检验法可以判断出具体哪个变量引起的,解答为
删除数据的个数会影响G-Q检验的功效，其原因是什么？,提高不同组样本区分程度,解答为
OLS估计与WLS估计最本质的区别是什么？,赋予方差的权重,解答为
假设存在的异方差形式为Var(ε)=σ2F(X)，并且ε=σF(X)，ε的方差值是多少？,σ2F(X),解答为
当模型存在异方差性，加权最小二乘估计具备哪些性质？,线性、无偏性、有效性、一致性、最小方差性,解答为
哪些能够提供随机误差项方差与解释变量之间具体关系的信息？,图示检验法、White 检验法、Glejser 检验,解答为
White检验的基本步骤包括哪些？,使用最小二乘法估计原模型、原假设为辅助回归系数全为 0、使用残差平方作辅助回归、检验统计量服从卡方分布,解答为
在选择WLS权重时，可以通过哪些原则？,系数符合预期、模型系数显著、R2足够大,解答为
异方差性的检验,在存在多个解释变量的情况下，对模型Y_t=\beta_1+\beta_2X_{2t}+\beta_3X_{3t}+\beta_4X_{4t}进行检验时提出的原假设和检验方法分别是什么？,的例题是
异方差的概念,常见的异方差分为递增与递减类型，这种分类的主要依据是什么？,的例题是
异方差性的检验,对于n元回归（n≥2），在大样本情况下White检验的统计量自由度是多少？,的例题是
异方差性的检验,哪一个不可以使用R2进行检验？,的例题是
异方差性的检验,对异方差性检验需要满足的前提条件中，哪个说法是错误的？,的例题是
异方差的后果,有关异方差存在时OLS估计的说法中，哪一个是正确的？,的例题是
异方差性的检验,在进行ARCH检验前，需要对样本进行什么操作？,的例题是
异方差性的检验,检验异方差的各个方法共有的特点是什么？,的例题是
异方差性的检验,关于White检验两种辅助回归的联系和区别，哪个说法是错误的？,的例题是
异方差的补救,在WLS估计中，对较小的σ2给予较大的权数的主要原因是什么？,的例题是
异方差的补救,使用加权最小二乘估计模型，得到解释变量误差vi，哪些关系是正确的？,的例题是
异方差性的检验,加权最小二乘法进行模型修正后，其参数估计量满足哪些性质？,的例题是
异方差性的检验,Glejser检验可以通过哪些信息判断是否存在异方差性？,的例题是
异方差性的检验,G-Q检验的基本步骤包括哪些？,的例题是
异方差性的检验,在建模过程中加入过多变量会造成什么问题？,的例题是
异方差的后果,当模型中存在异方差性，会使得参数估计量的方差如何变化？,的例题是
异方差的补救,已知模型中存在异方差，其形式为Var(ε)=σ2F(X)，模型变化后的残差平方和与加权最小二乘的残差平方和比较，相差多少？,的例题是
异方差的检验,不需要对辅助回归系数进行检验的方法是哪一个？,的例题是
异方差性的检验,Goldfeild-Quandt检验中，两部分残差平方和自由度均为c-k，其中c和k分别代表什么？,的例题是
异方差性的检验,关于图示检验法，哪个说法是错误的？,的例题是
异方差性的检验,删除数据的个数会影响G-Q检验的功效，其原因是什么？,的例题是
异方差的补救,OLS估计与WLS估计最本质的区别是什么？,的例题是
异方差的补救,假设存在的异方差形式为Var(ε)=σ2F(X)，并且ε=σF(X)，ε的方差值是多少？,的例题是
异方差的补救,当模型存在异方差性，加权最小二乘估计具备哪些性质？,的例题是
异方差性的检验,哪些能够提供随机误差项方差与解释变量之间具体关系的信息？,的例题是
异方差性的检验,White检验的基本步骤包括哪些？,的例题是
异方差的补救,在选择WLS权重时，可以通过哪些原则？,的例题是
分布滞后模型与自回归模型,引子：货币政策效应的时滞,包含
分布滞后模型与自回归模型,滞后效应与滞后变量模型,包含
分布滞后模型与自回归模型,分布滞后模型的估计,包含
分布滞后模型与自回归模型,自回归模型的构建,包含
分布滞后模型与自回归模型,自回归模型的估计,包含
滞后效应与滞后变量模型,经济活动中的滞后现象,包含
滞后效应与滞后变量模型,滞后效应产生的原因,包含
滞后效应与滞后变量模型,滞后变量模型,包含
分布滞后模型的估计,分布滞后模型估计的困难,包含
分布滞后模型的估计,最小二乘法递推估计,包含
分布滞后模型的估计,经验加权估计法,包含
分布滞后模型的估计,阿尔蒙法,包含
自回归模型的构建,引入途径,包含
自回归模型的构建,库伊克模型,包含
自回归模型的构建,自适应预期模型,包含
自回归模型的构建,局部调整模型,包含
自回归模型的估计,自回归模型估计的困难,包含
自回归模型的估计,工具变量法,包含
自回归模型的估计,德宾h检验,包含
经济活动中的滞后现象,消费滞后,包含
经济活动中的滞后现象,通货膨胀滞后,包含
滞后效应产生的原因,心理预期因素,包含
滞后效应产生的原因,技术因素,包含
滞后效应产生的原因,制度因素,包含
滞后变量模型,滞后解释变量,包含
滞后变量模型,滞后被解释变量,包含
滞后变量模型,Y_t = \alpha + \beta_0 X_t + \beta_1 X_{t-1} + \beta_2 X_{t-2} + \cdots + \beta_s X_{t-s} + \gamma_1 Y_{t-1} + \gamma_2 Y_{t-2} + \cdots + \gamma_q Y_{t-q} + u_t,包含
滞后变量模型,有限滞后变量模型,包含
滞后变量模型,无限滞后变量模型,包含
滞后变量模型,分布滞后模型,包含
滞后变量模型,自回归模型,包含
分布滞后模型估计的困难,滞后项无限多而样本观测总是有限,包含
最小二乘法递推估计,缺陷,包含
经验加权估计法,基本思想,包含
经验加权估计法,常见的滞后结构类型,包含
经验加权估计法,优点,包含
经验加权估计法,缺点,包含
经验加权估计法,通常做法,包含
经验加权估计法,决策依据,包含
阿尔蒙法,基本思想,包含
阿尔蒙法,基本原理,包含
阿尔蒙法,估计方式,包含
阿尔蒙法,多项式次数,包含
阿尔蒙法,优点,包含
引入途径,对无限分布滞后模型的滞后结构作出某种假定，通过变换而形成,包含
引入途径,在模型中考虑了预期因素，然后基于经济原理对“期望模型”作出某种假定而导出,包含
库伊克模型,针对现象,包含
库伊克模型,假定,包含
库伊克模型,库伊克变换,包含
库伊克模型,作用,包含
库伊克模型,优点,包含
库伊克模型,缺陷,包含
自适应预期模型,动机,包含
自适应预期模型,形式,包含
自适应预期模型,难点,包含
自适应预期模型,假定,包含
自适应预期模型,预期表示,包含
局部调整模型,动机,包含
局部调整模型,基本思想,包含
局部调整模型,基本形式,包含
局部调整模型,本质,包含
自回归模型估计的困难,出现了随机解释变量$Y_{t-1}$，而$Y_{t-1}$可能与随机扰动项相关,包含
自回归模型估计的困难,随机扰动项可能自相关，库伊克模型和自适应预期模型的随机扰动项都会导致自相关，只有局部调整模型的随机扰动无自相关,包含
自回归模型估计的困难,问题,包含
自回归模型估计的困难,解决方案,包含
工具变量法,基本思想,包含
工具变量法,选取条件,包含
德宾h检验,问题,包含
德宾h检验,h统计量,包含
德宾h检验,缺陷,包含
分布滞后模型,Y_t = \alpha + \beta_0 X_t + \beta_1 X_{t-1} + \beta_2 X_{t-2} + \cdots + \beta_s X_{t-s} + u_t,包含
自回归模型,Y_t = \alpha + \beta_0 X_t + \gamma_1 Y_{t-1} + \gamma_2 Y_{t-2} + \cdots + \gamma_q Y_{t-q} + u_t,包含
缺陷,自由度问题,包含
缺陷,多重共线性问题,包含
缺陷,滞后长度难于确定,包含
基本思想,根据实际经济问题的特点及经验判断，形成相应的约束，对解释变量的系数赋予一定的权数，利用这些权数构成各滞后变量的线性组合，以形成新的变量，再应用最小二乘法进行估计,包含
常见的滞后结构类型,递减滞后结构,包含
常见的滞后结构类型,不变滞后结构,包含
常见的滞后结构类型,$\Lambda$型滞后结构,包含
优点,简单易行,包含
优点,少损失自由度,包含
优点,避免多重共线性干扰,包含
优点,参数估计具有一致性,包含
缺点,设置权数的主观随意性较,包含
缺点,求分析者对实际问题的特征有比较透彻的了解,包含
通常做法,依据先验信息，多选几组权数分别估计多个模型从中选出最佳估计方程,包含
决策依据,可决系数,包含
决策依据,F检验值,包含
决策依据,t检验值,包含
决策依据,估计标准差,包含
决策依据,DW值,包含
基本思想,利用多项式来逼近滞后参数的变化结构，从而减少待估参数的数目,包含
基本原理,在有限分布滞后模型滞后长度s已知的情况下，滞后项系数可以看成是相应滞后期i的函数,包含
估计方式,最小二乘法进行估计,包含
多项式次数,一般取2或3，很少超过4,包含
优点,新模型中的变量个数少于原分布滞后模型中的变量个数,包含
优点,自由度得到保证,包含
优点,定程度上缓解了多重共线性问题,包含
针对现象,滞后长度难于确定的问题,包含
假定,滞后系数的衰减服从某种公比小于1的几何级数,包含
库伊克变换,$Y_t=\\alpha(1-\lambda)+\beta_0X_t+\lambda Y_{t-1}+(u_t-\lambdau_{t-1})$,包含
作用,将一个无限分布滞后模型变成只有一个本期解释变量和滞后一期被解释变量的自回归模型,包含
优点,结构得到极大简化,包含
优点,最大限度地保证了自由度,包含
优点,解决了滞后长度难以确定的问题,包含
优点,很大程度上缓解了多重共线性,包含
缺陷,假定无限滞后分布呈几何滞后结构,包含
缺陷,新模型的随机扰动项存在一阶自相关，且与解释变量相关,包含
缺陷,将随机变量作为解释变量引入了模型，不一定符合基本假定,包含
缺陷,库伊克变换是纯粹的数学运算结果，缺乏经济理论依据,包含
动机,某些经济变量的变化会或多或少地受到另一些经济变量预期值的影响,包含
形式,$Y_t = \alpha \beta X_t^*+U_t$,包含
难点,如何获取解释变量预期值,包含
假定,经济活动主体对某经济变量的预期，是通过一种简单的学习过程而行成的,包含
预期表示,$X_t^* = X_{t-1}^*+\gamma (X_t^*-X_{t-1}^*)$,包含
动机,在经济活动中，会遇到为了适应解释变量的变化，被解释变量有一个预期的最佳值与之对应的现象,包含
基本思想,被解释变量的实际变化仅仅是预期变化的一部分,包含
基本形式,$Y_t-Y_{t-1} = \delta (Y_t^*-Y_{t-1})$,包含
本质,自回归模型,包含
问题,设法消除$Y_{t-1}$与随机扰动项的相关性,包含
问题,验随机扰动项是否存在自相关,包含
解决方案,采用工具变量法,包含
解决方案,德宾h检验,包含
基本思想,在进行参数估计的过程中选择适当的工具变量，代替回归模型中同随机扰动项存在相关性的解释变量,包含
选取条件,与所代替的解释变量高度相关,包含
选取条件,与随机扰动项不相关,包含
选取条件,与其它解释变量不相关，以免出现多重共线性,包含
问题,如果用DW检验法，则d统计量值总是趋近于2,包含
h统计量,h = \hat{\rho} \sqrt{\frac{n}{1 - n \text{Var}(\hat{\beta}_1^*)}} = \left(1 - \frac{d}{2}\right) \sqrt{\frac{n}{1 - n \text{Var}(\hat{\beta}_1^*)}},包含
缺陷,该检验法是针对大样本的，用于小样本效果较差,包含
引子：货币政策效应的时滞,经济理解能力,考察
滞后效应与滞后变量模型,经济理解能力,考察
滞后效应与滞后变量模型,逻辑思维能力,考察
滞后效应与滞后变量模型,数学推演能力,考察
分布滞后模型的估计,逻辑思维能力,考察
分布滞后模型的估计,数学推演能力,考察
自回归模型的构建,数据处理能力,考察
自回归模型的构建,逻辑思维能力,考察
自回归模型的构建,数学推演能力,考察
自回归模型的估计,逻辑思维能力,考察
自回归模型的估计,数学推演能力,考察
关于自适应预期模型和局部调整模型，下列哪些说法是不正确的？,它们都是库伊克模型的特例,解答为
分布滞后模型中，动态乘数是什么？,γ?,解答为
对于回归模型，检验随机误差项是否存在自相关的统计量是什么？,D.F统计量,解答为
对自回归模型进行估计时，假定原始模型的随机扰动项满足古典线性回归模型的所有假设，则哪些模型的估计量是一致估计量？,局部调整模型,解答为
局部调整模型不具有哪些特点？,模型的随机扰动项存在自相关,解答为
库伊克模型不具有哪些特点？,假定无限滞后分布呈非几何滞后分布,解答为
阿尔蒙法不具有哪些特点？,在使用阿尔蒙方法时，无法用最小二乘法进行估计,解答为
经验加权估计法不具有哪些特点？,参数估计不具有一致性,解答为
设一阶自回归模型是库伊克模型或自适应预期模型，估计模型时可用工具变量替代滞后内生变量，该工具变量应该满足哪些条件？,与随机误差项不相关,解答为
关于分布滞后模型的估计，哪些说法是错误的？,对无限分布滞后模型可以用最小二乘法对其进行估计,解答为
常见的滞后结构类型有哪些？,递减滞后结构 ，不变滞后结构，形滞后结构,解答为
对于无限分布滞后模型，哪些说法是正确的？,α=1-β ，α=β，α=β/(1-β)，α为调整速度,解答为
自适应预期假定认为，经济活动主体对某经济变量的预期，是通过一种简单的学习过程而行成的，用数学式子表示就是，其中哪些说法是正确的？,α为调整系数，代表调整的速度 ，在一般情况下，0<α<1，若α=0，说明本期实际值被忽略，预期没有进行修正，若α=1，说明本期预期与前一期预期无关,解答为
关于德宾h检验，哪些说法是正确的？,在的假定下，h统计量的极限分布为标准正态分布，若h>1.96，则拒绝原假设，说明自回归模型存在一阶自相关，该检验法可适用任意阶的自回归模型,解答为
在下列引起序列自相关的原因中，哪个是不正确的？,解释变量之间的共线性,解答为
分布滞后模型Y=a+b0Xt+b1Xt-1+b2Xt-2+b3Xt-3+u中，为了使模型的自由度达到30，必须拥有多少年的观测资料？,38,解答为
自适应预期模型具有哪些特点？,满足古典假定 ,解答为
关于消费函数，错误的是什么？,此为自回归模型,解答为
关于库伊克模型，错误的是什么？,模型的随机扰动项存在一阶自相关，但与解释变量无关,解答为
"假设对下列模型进行估计得到，若h=0.7071,则n为多少？",100,解答为
关于阿尔蒙模型的说法，错误的是什么？,实际应用中，阿尔蒙多项式的次数m 取得越高估计越准确,解答为
关于局部调整模型和库伊克模型，下列说法正确的有哪些？,假定原模型中随机扰动项满足古典假定，则局部调整模型满足,解答为
分布滞后模型不能直接运用OLS方法进行估计，其常用的估计方法不包括哪些？,德宾两步法,解答为
关于DW检验法，错误的是什么？,DW检验法适用于自回归模型中自相关的检验,解答为
下列对分布滞后模型描述不正确的有哪些？,无限分布滞后模型可以直接进行估计，有限分布滞后模型没有多重共线性 ,解答为
下列属于分布滞后模型的有哪些？,Y=a+b0Xt+b1Xt-1+u， Y=a+bXt+bXt-1+u ,解答为
对于有限分布滞后模型，将参数表示为关于滞后的多项式并代入模型，做这种变换可以有哪些效果？,减弱多重共线性，避免因参数过多而自由度不足,解答为
对于AIC信息准则与SIC信息准则，正确的有哪些？,都可用于确定滞后长度，SIC的惩罚项大于AIC，AIC较小者意味着滞后阶数较为合适 ，适合于缺乏先验信息的情况,解答为
自回归模型的估计,关于自适应预期模型和局部调整模型，下列哪些说法是不正确的？,的例题是
滞后效应与滞后变量模型,分布滞后模型中，动态乘数是什么？,的例题是
自回归模型的构建,对于回归模型，检验随机误差项是否存在自相关的统计量是什么？,的例题是
自回归模型的估计,对自回归模型进行估计时，假定原始模型的随机扰动项满足古典线性回归模型的所有假设，则哪些模型的估计量是一致估计量？,的例题是
自回归模型的构建,局部调整模型不具有哪些特点？,的例题是
自回归模型的构建,库伊克模型不具有哪些特点？,的例题是
自回归模型的构建,阿尔蒙法不具有哪些特点？,的例题是
自回归模型的构建,经验加权估计法不具有哪些特点？,的例题是
自回归模型的构建,设一阶自回归模型是库伊克模型或自适应预期模型，估计模型时可用工具变量替代滞后内生变量，该工具变量应该满足哪些条件？,的例题是
自回归模型的构建,关于分布滞后模型的估计，哪些说法是错误的？,的例题是
自回归模型的构建,常见的滞后结构类型有哪些？,的例题是
自回归模型的构建,对于无限分布滞后模型，哪些说法是正确的？,的例题是
自回归模型的构建,自适应预期假定认为，经济活动主体对某经济变量的预期，是通过一种简单的学习过程而行成的，用数学式子表示就是，其中哪些说法是正确的？,的例题是
自回归模型的估计,关于德宾h检验，哪些说法是正确的？,的例题是
自回归模型的估计,在下列引起序列自相关的原因中，哪个是不正确的？,的例题是
自回归模型的估计,分布滞后模型Y=a+b0Xt+b1Xt-1+b2Xt-2+b3Xt-3+u中，为了使模型的自由度达到30，必须拥有多少年的观测资料？,的例题是
自回归模型的构建,自适应预期模型具有哪些特点？,的例题是
自回归模型的构建,关于消费函数，错误的是什么？,的例题是
自回归模型的构建,关于库伊克模型，错误的是什么？,的例题是
自回归模型的估计,"假设对下列模型进行估计得到，若h=0.7071,则n为多少？",的例题是
自回归模型的构建,关于阿尔蒙模型的说法，错误的是什么？,的例题是
自回归模型的构建,关于局部调整模型和库伊克模型，下列说法正确的有哪些？,的例题是
自回归模型的估计,分布滞后模型不能直接运用OLS方法进行估计，其常用的估计方法不包括哪些？,的例题是
自回归模型的估计,关于DW检验法，错误的是什么？,的例题是
自回归模型的构建,下列对分布滞后模型描述不正确的有哪些？,的例题是
自回归模型的构建,下列属于分布滞后模型的有哪些？,的例题是
自回归模型的构建,对于有限分布滞后模型，将参数表示为关于滞后的多项式并代入模型，做这种变换可以有哪些效果？,的例题是
自回归模型的估计,对于AIC信息准则与SIC信息准则，正确的有哪些？,的例题是
时间序列计量经济模型,时间序列计量经济分析的基本概念,包含
时间序列计量经济模型,时间序列平稳性的单位根检验,包含
时间序列计量经济模型,协整,包含
时间序列计量经济模型,格兰杰因果检验,包含
时间序列计量经济分析的基本概念,伪回归问题,包含
时间序列计量经济分析的基本概念,随机过程的概念,包含
时间序列计量经济分析的基本概念,时间序列的平稳性,包含
,时间序列的平稳性,包含
时间序列平稳性的单位根检验,单位根过程,包含
时间序列平稳性的单位根检验,Dickey-Fuller检验（DF检验）,包含
时间序列平稳性的单位根检验,Augmented Dickey-Fuller检验（ADF检验）,包含
协整,协整的概念,包含
协整,意义,包含
协整,协整检验,包含
协整,误差修正模型,包含
格兰杰因果检验,格兰杰因果关系,包含
格兰杰因果检验,格兰杰因果检验的实施,包含
格兰杰因果检验,格兰杰因果检验的注意事项,包含
伪回归问题,指变量间本来不存在有意义的关系，但回归结果却得出存在有意义关系的错误结论,包含
伪回归问题,原因,包含
