起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点,问题,解答
多元线性回归模型的古典假定,零均值假定,包含,,点预测,最小二乘准则,普通最小二乘法(OLS),\(\text{Rank}(X)=k\)，其中\(k\)是解释变量的数量,多元回归中满足有效性需要哪些基本假定？,"E(u_i)=0,同方差和无自相关假定,无（完全）多重共线性假定"
多元线性回归模型的古典假定,同方差和无自相关假定,包含,,平均值的区间预测,矩阵形式表达,\(e_i=Y_i-\hat{Y}_i\),"\(u\simN(0,\sigma^2I)\)",多元回归模型的矩阵表示形式是什么？,"\mathbb{E} (Y | X) = X \beta,Y = X \beta + u"
多元线性回归模型的古典假定,随机扰动项与解释变量不相关假定,包含,,个别值的区间预测,正规方程组,目标,在满足古典假定条件下，通过最小化残差平方和来估计模型参数,F检验的正确说法有哪些？,"\text{F 检验的原假设为 } H_0: \beta_2 = \beta_3 = \cdots = \beta_k = 0
\text{当 } R^2 = 0 \text{ 时， } F = 0"
多元线性回归模型的古典假定,无多重共线性假定,包含,,建立工作文件,线性性质,\((X'X)\hat{\beta}=X'Y\),其中\(Y_i\)是观测值，\(\hat{Y}_i\)是通过模型预测的值,关于多元线性回归模型的正确陈述有哪些？,"计量经济分析的目标是找到总体回归函数,即使用适当的样本回归函数估计总体回归函数,在古典假定下，多元线性回归的 OLS估计式是最佳线性无偏估计式"
多元线性回归模型的古典假定,正态性假定,包含,,输入数据,无偏性,最小二乘估计量是被解释变量观测值的线性组合,最小化残差平方和，\(\sum_{i=1}^{n}e_i^2\)最小化,在多元回归模型中，\(F = t^2\)?,错误。一元回归模型时才满足
零均值假定,随机扰动项的期望或均值为零,包含,,数据排序,有效性,\(E(\hat{\beta})=\beta\),\(Y=X\beta+e\)\(Y\)是被解释变量向量，\(X\)是解释变量矩阵，\(\beta\)是参数向量，\(e\)是残差向量,当存在非完全共线性时，多元回归的基本假定将不满足，无法使用OLS估计?,错误。多元回归的假定5为无完全多重共线性假定，非完全共线时矩阵X’X可逆。
同方差和无自相关假定,随机扰动项互不相关且方差相同,包含,,打开数据组,参数估计量分布,在所有线性无偏估计量中方差最小,通过转置\(X\)并乘以\(X\)和\(Y\)来求解\(\beta\)的估计值,如何计算修正的可决系数？,\bar{R}^2 = 1 - (1 - R^2) \frac{n - 1}{n - k}
随机扰动项与解释变量不相关假定,随机扰动项与解释变量不相关,包含,,绘制数据图,方差-协方差矩阵,在古典假定下，参数估计量服从正态分布,,进行单个显著性检验，以及联合显著性检验，考虑多重共线性问题，解释截距项的经济含义，以及加入新的变量后对 OLS 估计量和标准差的影响,"（1）tv的回归系数是显著的，其他都不显著。
（2）F检验显著
（3）严重的多重共线性。
（4）截距是不做广告时产品的销售额。如果加了这个新变量以后，会出现完全多重共线。也就是虚拟变量陷阱。标准差会没有定义，不能估计出系数"
无多重共线性假定,各解释变量之间不存在线性关系,包含,,估计模型参数,无偏估计,\(\text{Var}(\hat{\beta})=\sigma^2(X'X)^{-1}\),估计量的期望等于真实参数值,根据模型估计其合理性，在特定显著性水平下检验参数显著性，检验总体显著性,"（1）由模型估计结果可看出：旅行社职工人数和国际游客人数均与旅游外汇收入正相关。平均来说，旅行社职工人数增加 1 人，旅游外汇收入将增加 0.1179 百万美元；国际游客人数增加 1 万人次，旅游外汇收入增加 1.5452 百万美元。
（2）取 $\alpha = 0.05$，查表得 $t_{0.025}(31-3) = 2.048$
因为 3 个参数 $t$ 统计量的绝对值均大于 $t_{0.025}(31-3) = 2.048$，说明经 $t$ 检验 3 个参数均显著不为 0，即旅行社职工人数和国际游客人数分别对旅游外汇收入都有显著影响。
取 $\alpha = 0.05$，查表得 $F_{0.05}(2,28) = 3.34$，由于 $F = 199.1894 > F_{0.05}(2,28) = 3.34$，说明旅行社职工人数和国际游客人数联合起来对旅游外汇收入有显著影响，线性回归方程显著成立。"
正态性假定,随机扰动项服从正态分布,包含,,模型检验,多重可决系数,\(\hat{\sigma}^2=\frac{1}{n-k-1}\sum_{i=1}^{n}e_i^2\),其中\(\sigma^2\)是随机扰动项的方差,计算R^2，标准差，截距项等系数；根据计算机输出结果，写出二元回归模型的数学表达式；解释回归系数0.0483和1.0409的经济含义,"1.具体系数带入公式计算
2. 回归模型表达式：
   \hat{Y} = -1014.5675 + 0.0483 X1 + 1.0409 X2
   其中，$R^2 = 0.9910$，$DW = 1.4$，$T = 16$。
3. 回归系数的经济意义：
   若保持 $X2$ 不变，$X1$ 每增加1单位，则在校学生人数平均增加 $0.0483 \times 10000 = 483$ 人。
    若保持 $X1$ 不变，$X2$ 每增加1所，则在校学生人数平均增加 $1.0409 \times 10000 = 10400$ 人。"
多元线性回归模型的估计,多元线性回归模型参数的最小二乘估计,包含,,预测,修正的可决系数,衡量模型对观测值的拟合程度,\(n\)是样本量，\(k\)是解释变量的数量,对于多元回归模型，固定其他因素不变，每增加一个单位，对的边际效应增加（ ）个单位,beta_i
多元线性回归模型参数的最小二乘估计,估计方法,包含,,,检验模型中被解释变量与所有解释变量之间的线性关系在总体上是否显著,变差分解,在Y的总变差中由多个解释变量作出解释的那部分变差的比重,以下多元回归模型中，为线性模型的是（   ）,Y = A L^{\alpha} K^{\beta}
估计方法,普通最小二乘法(OLS),包含,,,假设形式,计算公式,\(TSS=ESS+RSS\)其中TSS是总离差平方和，ESS是回归平方和，RSS是残差平方和,以下哪一项不是多元线性回归最小二乘的估计原则（   ）,\min Y_i - \left( \hat{\beta}_1 + \hat{\beta}_2 X_{2i} + \cdots + \hat{\beta}_k X_{ki} \right)
普通最小二乘法(OLS),在满足古典假定条件下，通过最小化残差平方和来估计模型参数,包含,,,统计量,考虑自由度校正的多重可决系数,\(R^2=\frac{ESS}{TSS}\)\(R^2\)越接近1，模型拟合程度越好,对于二元样本回归模型，下列不成立的是（   ）,\sum e_i Y_i = 0
多元线性回归模型参数的最小二乘估计,残差计算,包含,,,F统计量与可决系数R^2关系,,\(R^2=1-\frac{ESS}{TSS}\),"对多元线性回归模型，若\(u_i\)服从正态分布，也即\(u_i \sim N(0, \sigma^2)\)，则\(\hat{\beta}\)服从（   ）","N \left( \beta_1 + \beta_2 X_{2i} + \beta_3 X_{3i}, \ \sigma^2 \right)"
多元线性回归模型参数的最小二乘估计,最小二乘准则,包含,,,检验每个解释变量对被解释变量的影响是否显著,\(H_0:\beta_1=\beta_2=\ldots=\beta_k=0\)vs\(H_1:\)notall\(\beta_j=0\),\(\bar{R}^2=1-(1-R^2)\frac{n-1}{n-k-1}\)其中n是样本容量，k是解释变量个数,对样本量为104的多元线性回归模型，\(df_{residual}\)等于（   ）,101sigma^2
多元线性回归模型参数的最小二乘估计,矩阵形式表达,包含,,,检验,\(F=\frac{ESS/(k-1)}{RSS/(n-k)}\),在\(H_0\)成立的条件下，统计量F服从自由度为k-1和n-k的F分布,以下陈述正确的是（   ）,增加一个解释变量会使R^2增加
多元线性回归模型参数的最小二乘估计,正规方程组,包含,,,说明参数真实值的可能范围和可靠性,F=\frac{\frac{n-k}{k-1}\cdotR^2}{1-R^2},其中\(\hat{\beta}_j\)是参数估计量，\(SE(\hat{\beta}_j)\)是标准误差，在\(H_0\)成立的条件下，统计量t服从自由度为n-k的t分布,对于多元线性回归模型 $ Y_i = \beta_1 + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i $，若 $\sum X_2 = 80$，$\sum X_3 = 45$，$\Y = 36$，$\hat{\beta}_1 = -1.75$，$\hat{\beta}_3 = 2.7$，$n = 10$，则 $\hat{\beta}_2$ 等于（  ）,3.2
多元线性回归模型的估计,参数最小二乘估计的性质,包含,,,计算公式,\(H_0:\beta_j=0\)vs\(H_1:\beta_j\neq0\),临界值$t_{\alpha/2}(n-k)$,对多元线性回归模型，若满足零均值假定，以下说法正确的是（   ）,随机扰动项的期望为0
参数最小二乘估计的性质,线性性质,包含,,,置信区间,\(t=\frac{\hat{\beta}_j}{SE(\hat{\beta}_j)}\),其中\(t_{\alpha/2}(n-k)\)是t分布的临界值，\(SE(\hat{\beta}_j)\)是标准误差,以下关于样本数量和解释变量个数的陈述错误的是（   ）,满足基本假设条件下，样本容量略大于解释变量个数时，不能得到参数的唯一确定估计值
线性性质,最小二乘估计量是被解释变量观测值的线性组合,包含,,,定义,给定显著性水平alpha,用于经济预测，估计样本外的数值,当RSS变小时，\(R^2\)变大，因而\(R^2\)越大则代表拟合程度更高,正确
参数最小二乘估计的性质,无偏性,包含,,,期望值,统计量绝对值大于临界值，拒绝原假设,其中\(X_f\)是新观测的解释变量值构成的行向量，\(\hat{\beta}\)是参数估计量,当RSS变小时，修正可决系数也会随之而变大,错误
参数最小二乘估计的性质,有效性,包含,,,偏差定义,统计量绝对值小于临界值，不拒绝原假设,说明点预测值是被解释变量平均值的无偏估计,\(R^2\)与修正可决系数同增同减，但\(\bar{R}^2 \leq R^2\),正确
无偏性,\(E(\hat{\beta})=\beta\),包含,,,偏差分布,\(\hat{\beta}_j\pmt_{\alpha/2}(n-k)\cdotSE(\hat{\beta}_j)\),考虑预测误差，给出预测值的置信区间,\(R^2\)越大，也代表着解释变量联合起来对被解释变量的解释程度越高,正确
有效性,在所有线性无偏估计量中方差最小,包含,,,预测区间,上述计算公式计算出置信度为1-\(\alpha\)的置信区间,预测值与预测期平均值的偏差,\(R^2\)与F统计量同增同减，但仅能做描述性判断而F检验可以做显著性判断,正确
多元线性回归模型的估计,OLS估计的分布性质,包含,,,残差定义,在给定解释变量的条件下，对被解释变量Y的平均值进行估计,服从自由度为n-k的t分布,下列使用矩阵表示的多元回归模型样本回归函数有(),"Y = X\hat{\beta} + e,\hat{Y} = X\hat{\beta}"
OLS估计的分布性质,参数估计量分布,包含,,,选择数据类型,\(\hat{Y_f}=X_f\hat{\beta}\),置信度为\(1-\alpha\)的预测区间,用一组有30个观测值的样本估计模型后，在0.05的显著性水平上做t检验和F检验，以下说法正确的有（   ）,"b_1 显著地不等于零的条件是其统计量 t 大于等于 t_{0.025}(27)，所有解释变量联合起来对 y 的影响显著的条件是其统计量 F 大于等于 F_{0.05}(2, 27)"
OLS估计的分布性质,方差-协方差矩阵,包含,,,设置时间范围,\(E(\hat{Y_f})=E(Y_f)\),考虑预测误差，给出个别预测值的置信区间,满足基本假设条件下，样本容量略大于解释变量个数时，可以得到各参数的唯一确定的估计值，但参数估计结果的可靠性得不到保证？,正确
多元线性回归模型的估计,随机扰动项方差的估计,包含,,,命令框输入,对预测期平均值的区间估计,实际值与预测值的残差,R^2与F统计量同增同减，因此都能做显著性判断,错误，R^2 与F统计量同增同减，但R^2 仅能做描述性判断而F检验可以做显著性判断
随机扰动项方差的估计,无偏估计,包含,,,命令栏输入,w_f=\hat{Y}_f-E(Y_f),其中\(s_{Y_f}\)是预测误差的标准差服从自由度为n-k的t分布,请陈述多元回归的基本假定。,"假定1：零均值假定
假定2和3：同方差和无自相关假定（球形扰动假定）
假定4：随机扰动项与解释变量不相关
假定5：无（完全）多重共线性假定
假定6：正态性假定"
多元线性回归模型的假设检验和区间估计,拟合优度检验,包含,,,操作步骤,"w_f\simN\left[0,\sigma^2X_f(X'X)^{-1}X_f'\right]",用于时间序列数据,对于多元线性回归模型，为什么在进行了总体显著性F检验之后，还要对每个回归系数进行是否为0的t检验？,多元线性回归模型的总体显著性F检验是检验模型中全部解释变量对被解释变量的共同影响是否显著。通过了此F检验，就可以说模型中的全部解释变量对被解释变量的共同影响是显著的，但却不能就此判定模型中的每一个解释变量对被解释变量的影响都是显著的。因此还需要就每个解释变量对被解释变量的影响是否显著进行检验，即进行t检验。
拟合优度检验,多重可决系数,包含,,,最小二乘法,t=\frac{\hat{w}_f-E(w_f)}{SE(\hat{w}_f)}=\frac{\hat{Y}_f-E(Y_f)}{\hat{\sigma}\sqrt{X_f(X'X)^{-1}X_f'}},根据样本大小设置,下表给出一元模型的回归结果。方差来源平方和（SS）自由度（d.f.）来自回归(ESS)为75965，来自残差(RSS)为空，来自总离差(TSS)为86042求：（1）样本容量是多少？RSS是多少？ESS和RSS的自由度各是多少？（2）\(R^2\)和\(\bar{R}^2\)是多少？（3）检验假设：解释变量总体上对被解释变量无影响。你用什么假设检验？为什么？（4）根据以上信息，你能确定解释变量各自对被解释变量的贡献吗？（5）解释为什么对多元线性回归进行拟合优度检验时要使用修正可决系数而非多重可决系数？ 修正可决系数和多重可决系数的关系是什么？,"（1）样本容量为 n=20+1=21
RSS=TSS-ESS=86042-75965=9077
ESS的自由度为: df= 2
RSS的自由度为: df=n-2-1=18
（2）R2=ESS/TSS=75965/86042=0.8829
=1-(1- R2)(n-1)/(n-k)=1-0.1171*20/17=0.8699
（3）应该采用方程显著性检验，即F检验，理由是只有这样才能判断X1、X2一起是否对Y有影响。
（4）不能。因为通过上述信息，仅可初步判断X1、X2联合起来对Y有线性影响，两者的变化解释了Y变化的86.99%。但由于无法知道X1，X2前参数的具体估计值，因此还无法判断它们各自对Y的影响有多大。
（5）多重可决系数是模型中解释变量个数的不减函数，这给对比不同模型的多重可决系数带来缺陷。而修正可决系数 不再是解释变量个数的不减函数，要视正面影响（对拟合优度贡献）和负面影响（自由度损失）的相对大小。修正可决系数与多重可决系数同增同减，所以同样地，修正可决系数越高代表拟合程度越高，所有解释变量联合起来的整体解释程度越高。修正可决系数 \bar{R}^2≤多重可决系数R2，当\bar{R}^2为负时，强制其为0，所以修正可决系数\bar{R}^2的取值范围也在0与1之间。"
拟合优度检验,修正的可决系数,包含,,,命令行输入,\(\hat{Y_f}\pmt_{\alpha/2}(n-k)\cdots_{\hat{Y_f}}\sqrt{1/n}\),输入或粘贴相应的数据,,
多重可决系数,衡量模型对观测值的拟合程度,包含,,,经济意义检验,对预测期个别值的区间估计,实现数据按变量递增排序,,
多重可决系数,变差分解,包含,,,统计检验,\(\epsilon_f=Y_f-\hat{Y_f}\),查看数据表,,
多重可决系数,多重可决系数的计算公式,包含,,,点预测和区间预测,\(t=\frac{Y_f-\hat{Y_f}}{s_{Y_f}\sqrt{1+1/n}}\),生成序列的线性图,,
修正的可决系数,修正的可决系数的计算公式,包含,,,,\(\hat{Y_f}\pmt_{\alpha/2}(n-k)\cdots_{Y_f}\sqrt{1+1/n}\),键入模型公式，选择最小二乘法,,
修正的可决系数,考虑自由度校正的多重可决系数,包含,,,,integerdata,直接在命令栏输入回归命令,,
多元线性回归模型的假设检验和区间估计,回归方程的显著性检验（F-检验）,包含,,,,"Startdate:1,Enddate:样本数量",是否与理论和经验判断一致,,
回归方程的显著性检验（F-检验）,检验模型中被解释变量与所有解释变量之间的线性关系在总体上是否显著,包含,,,,data变量名列表,查看可决系数和修正可决系数评估模型拟合程度,,
回归方程的显著性检验（F-检验）,F-检验假设形式,包含,,,,Sort变量名,检验模型整体显著性判断所有解释变量联合对被解释变量的影响,,
回归方程的显著性检验（F-检验）,F统计量,包含,,,,按住ctrl键，点击变量名，双击打开group,检验单个参数显著性判断每个解释变量对被解释变量的影响,,
回归方程的显著性检验（F-检验）,F统计量与可决系数R^2关系,包含,,,,在数据表中点View/graph/line/ok,输入预测数据生成预测结果,,
多元线性回归模型的假设检验和区间估计,回归参数的显著性检验（t-检验）,包含,,,,点击Quick下拉菜单中的EstimateEquation,,,
回归参数的显著性检验（t-检验）,检验每个解释变量对被解释变量的影响是否显著,包含,,,,LS变量名列表,,,
回归参数的显著性检验（t-检验）,t-检验假设形式,包含,,,,检查参数估计的经济含义,,,
回归参数的显著性检验（t-检验）,t统计量,包含,,,,拟合优度,,,
回归参数的显著性检验（t-检验）,t检验,包含,,,,F检验,,,
t检验,给定显著性水平alpha,包含,,,,t检验,,,
t检验,统计量绝对值大于临界值，拒绝原假设,包含,,,,使用估计模型,,,
t检验,统计量绝对值小于临界值，不拒绝原假设,包含,,,,,,,
多元线性回归模型的假设检验和区间估计,多元线性回归模型参数的区间估计,包含,,,,,,,
多元线性回归模型参数的区间估计,说明参数真实值的可能范围和可靠性,包含,,,,,,,
多元线性回归模型参数的区间估计,区间估计计算公式,包含,,,,,,,
多元线性回归模型参数的区间估计,置信区间,包含,,,,,,,
多元线性回归模型的预测,点预测,包含,,,,,,,
点预测,在给定解释变量的条件下，对被解释变量Y的平均值进行估计,包含,,,,,,,
点预测,点预测的计算公式,包含,,,,,,,
点预测,点预测的期望值,包含,,,,,,,
点预测的计算公式,\(\hat{Y_f}=X_f\hat{\beta}\),包含,,,,,,,
点预测的期望值,\(E(\hat{Y_f})=E(Y_f)\),包含,,,,,,,
多元线性回归模型的预测,平均值的区间预测,包含,,,,,,,
平均值的区间预测,对预测期平均值的区间估计,包含,,,,,,,
平均值的区间预测,偏差定义,包含,,,,,,,
平均值的区间预测,偏差分布,包含,,,,,,,
平均值的区间预测,平均值预测区间,包含,,,,,,,
多元线性回归模型的预测,个别值的区间预测,包含,,,,,,,
个别值的区间预测,对预测期个别值的区间估计,包含,,,,,,,
个别值的区间预测,残差定义,包含,,,,,,,
个别值的区间预测,个别值的预测区间,包含,,,,,,,
EViews软件操作,建立工作文件,包含,,,,,,,
建立工作文件,选择数据类型,包含,,,,,,,
选择数据类型,integerdata,包含,,,,,,,
integerdata,用于时间序列数据,包含,,,,,,,
建立工作文件,设置时间范围,包含,,,,,,,
EViews软件操作,输入数据,包含,,,,,,,
输入数据,命令框输入,包含,,,,,,,
命令框输入,data变量名列表,包含,,,,,,,
data变量名列表,输入或粘贴相应的数据,包含,,,,,,,
EViews软件操作,数据排序,包含,,,,,,,
数据排序,命令栏输入,包含,,,,,,,
命令栏输入,Sort变量名,包含,,,,,,,
Sort变量名,实现数据按变量递增排序,包含,,,,,,,
EViews软件操作,打开数据组,包含,,,,,,,
EViews软件操作,绘制数据图,包含,,,,,,,
EViews软件操作,估计模型参数,包含,,,,,,,
打开数据组,数据组操作步骤,包含,,,,,,,
绘制数据图,数据图操作步骤,包含,,,,,,,
估计模型参数,最小二乘法,包含,,,,,,,
数据组操作步骤,按住ctrl键，点击变量名，双击打开group,包含,,,,,,,
数据图操作步骤,在数据表中点View/graph/line/ok,包含,,,,,,,
最小二乘法,点击Quick下拉菜单中的EstimateEquation,包含,,,,,,,
按住ctrl键，点击变量名，双击打开group,查看数据表,包含,,,,,,,
在数据表中点View/graph/line/ok,生成序列的线性图,包含,,,,,,,
点击Quick下拉菜单中的EstimateEquation,键入模型公式，选择最小二乘法,包含,,,,,,,
EViews软件操作,模型检验,包含,,,,,,,
模型检验,经济意义检验,包含,,,,,,,
模型检验,统计检验,包含,,,,,,,
经济意义检验,检查参数估计的经济含义,包含,,,,,,,
统计检验,拟合优度,包含,,,,,,,
统计检验,F检验,包含,,,,,,,
统计检验,t检验,包含,,,,,,,
检查参数估计的经济含义,是否与理论和经验判断一致,包含,,,,,,,
拟合优度,查看可决系数和修正可决系数评估模型拟合程度,包含,,,,,,,
F检验,检验模型整体显著性判断所有解释变量联合对被解释变量的影响,包含,,,,,,,
t检验,检验单个参数显著性判断每个解释变量对被解释变量的影响,包含,,,,,,,
EViews软件操作,预测,包含,,,,,,,
EViews软件操作,估计模型参数,包含,,,,,,,
预测,点预测和区间预测,包含,,,,,,,
点预测和区间预测,使用估计模型,包含,,,,,,,
使用估计模型,输入预测数据，生成预测结果,包含,,,,,,,
多元线性回归模型,数学推演能力,考察,,,,,,,
多元线性回归模型,数据处理能力,考察,,,,,,,
多元线性回归模型的古典假定,逻辑思维能力,考察,,,,,,,
多元线性回归模型的古典假定,经济理解能力,考察,,,,,,,
多元线性回归模型参数的最小二乘估计,数学推演能力,考察,,,,,,,
多元线性回归模型参数的最小二乘估计,软件使用能力,考察,,,,,,,
参数最小二乘估计的性质,数学推演能力,考察,,,,,,,
参数最小二乘估计的性质,逻辑思维能力,考察,,,,,,,
OLS估计的分布性质,数学推演能力,考察,,,,,,,
OLS估计的分布性质,实证分析能力,考察,,,,,,,
随机扰动项方差的估计,数学推演能力,考察,,,,,,,
随机扰动项方差的估计,数据处理能力,考察,,,,,,,
拟合优度检验,实证分析能力,考察,,,,,,,
拟合优度检验,数据处理能力,考察,,,,,,,
回归方程的显著性检验（F-检验）,实证分析能力,考察,,,,,,,
回归方程的显著性检验（F-检验）,数学推演能力,考察,,,,,,,
回归参数的显著性检验（t-检验）,实证分析能力,考察,,,,,,,
回归参数的显著性检验（t-检验）,数学推演能力,考察,,,,,,,
多元线性回归模型参数的区间估计,实证分析能力,考察,,,,,,,
多元线性回归模型参数的区间估计,数学推演能力,考察,,,,,,,
多元线性回归模型的预测,实证分析能力,考察,,,,,,,
多元线性回归模型的预测,软件使用能力,考察,,,,,,,
EViews软件操作,软件使用能力,考察,,,,,,,
EViews软件操作,数据处理能力,考察,,,,,,,
多元线性回归模型的总体回归函数形式是什么？,"E(Y_i | X_{1i}, \dots, X_{ki}) = \beta_1 + \beta_2 X_{2i} + \cdots + \beta_k X_{ki} \quad (i = 1, 2, \dots, n)",解答为,,,,,,,
参数\(\beta_1\)在模型中的经济意义是什么？,保持 X_1 不变，X_2 每增加原来的 1%，平均来说，Y 增加原来的beta_2 倍,解答为,,,,,,,
修正可决系数\(R^2\)高的意义是什么？,模型的预测越准确,解答为,,,,,,,
多元回归中的方差-协方差矩阵如何表示？,\sigma^2 (\mathbf{X'X})^{-1},解答为,,,,,,,
总变差TSS的自由度如何计算？,n-1,解答为,,,,,,,
在C-D生产函数Y = A L^{\alpha} K^{\beta}中，哪些参数代表弹性？,alpha beta,解答为,,,,,,,
"Y_i = \beta_0 + \beta_1 X_{1i} + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i,C_{ij} 是矩阵 (X'X)^{-1} 中第 i 行第 j 列的元素,如何计算检验\(\beta_1 = 1\)的t统计量？",\frac{\beta_1}{\hat{\sigma} \sqrt{C_{22}}},解答为,,,,,,,
在无异方差性和无序列自相关性时，协方差矩阵的形式是什么？,"\sigma^2 \begin{pmatrix}
1 & 0 & \cdots & 0 \\
0 & 1 & \cdots & 0 \\
\vdots & \vdots & \ddots & \vdots \\
0 & 0 & \cdots & 1 \\
\end{pmatrix} = \sigma^2 I_n",解答为,,,,,,,
修正后的可决系数与多重可决系数之间的数学关系是什么？,\bar{R}^2 = 1 - (1 - R^2) \frac{n - 1}{n - k},解答为,,,,,,,
关于多元线性回归模型的正确表述是什么？,当随机误差项的方差估计量等于零时，说明被解释变量与解释变量之间为函数关系,解答为,,,,,,,
多元回归中满足有效性需要哪些基本假定？,"E(u_i)=0,同方差和无自相关假定,无（完全）多重共线性假定",解答为,,,,,,,
多元回归模型的矩阵表示形式是什么？,"\mathbb{E} (Y | X) = X \beta,Y = X \beta + u",解答为,,,,,,,
F检验的正确说法有哪些？,"\text{F 检验的原假设为 } H_0: \beta_2 = \beta_3 = \cdots = \beta_k = 0
\text{当 } R^2 = 0 \text{ 时， } F = 0",解答为,,,,,,,
关于多元线性回归模型的正确陈述有哪些？,"计量经济分析的目标是找到总体回归函数,即使用适当的样本回归函数估计总体回归函数,在古典假定下，多元线性回归的 OLS估计式是最佳线性无偏估计式",解答为,,,,,,,
在多元回归模型中，\(F = t^2\)?,错误。一元回归模型时才满足,解答为,,,,,,,
当存在非完全共线性时，多元回归的基本假定将不满足，无法使用OLS估计?,错误。多元回归的假定5为无完全多重共线性假定，非完全共线时矩阵X’X可逆。,解答为,,,,,,,
如何计算修正的可决系数？,\bar{R}^2 = 1 - (1 - R^2) \frac{n - 1}{n - k},解答为,,,,,,,
进行单个显著性检验，以及联合显著性检验，考虑多重共线性问题，解释截距项的经济含义，以及加入新的变量后对 OLS 估计量和标准差的影响,"（1）tv的回归系数是显著的，其他都不显著。
（2）F检验显著
（3）严重的多重共线性。
（4）截距是不做广告时产品的销售额。如果加了这个新变量以后，会出现完全多重共线。也就是虚拟变量陷阱。标准差会没有定义，不能估计出系数",解答为,,,,,,,
