起始节点,目标节点,关系
多重可决系数,变差分解,包含
多重可决系数,多重可决系数的计算公式,包含
修正的可决系数,修正的可决系数的计算公式,包含
修正的可决系数,考虑自由度校正的多重可决系数,包含
多元线性回归模型的假设检验和区间估计,回归方程的显著性检验（F-检验）,包含
回归方程的显著性检验（F-检验）,检验模型中被解释变量与所有解释变量之间的线性关系在总体上是否显著,包含
回归方程的显著性检验（F-检验）,F-检验假设形式,包含
回归方程的显著性检验（F-检验）,F统计量,包含
回归方程的显著性检验（F-检验）,F统计量与可决系数R^2关系,包含
多元线性回归模型的假设检验和区间估计,回归参数的显著性检验（t-检验）,包含
回归参数的显著性检验（t-检验）,检验每个解释变量对被解释变量的影响是否显著,包含
回归参数的显著性检验（t-检验）,t-检验假设形式,包含
回归参数的显著性检验（t-检验）,t统计量,包含
回归参数的显著性检验（t-检验）,t检验,包含
t检验,给定显著性水平alpha,包含
t检验,统计量绝对值大于临界值，拒绝原假设,包含
t检验,统计量绝对值小于临界值，不拒绝原假设,包含
多元线性回归模型的假设检验和区间估计,多元线性回归模型参数的区间估计,包含
多元线性回归模型参数的区间估计,说明参数真实值的可能范围和可靠性,包含
多元线性回归模型参数的区间估计,区间估计计算公式,包含
多元线性回归模型参数的区间估计,置信区间,包含
多元线性回归模型的预测,点预测,包含
点预测,在给定解释变量的条件下，对被解释变量Y的平均值进行估计,包含
点预测,点预测的计算公式,包含
点预测,点预测的期望值,包含
点预测的计算公式,\( \hat{Y_f} = X_f \hat{\beta} \),包含
点预测的期望值,\( E(\hat{Y_f}) = E(Y_f) \),包含
多元线性回归模型的预测,平均值的区间预测,包含
平均值的区间预测,对预测期平均值的区间估计,包含
平均值的区间预测,偏差定义,包含
平均值的区间预测,偏差分布,包含
平均值的区间预测,平均值预测区间,包含
多元线性回归模型的预测,个别值的区间预测,包含
个别值的区间预测,对预测期个别值的区间估计,包含
个别值的区间预测,残差定义,包含
个别值的区间预测,个别值的预测区间,包含
EViews软件操作,建立工作文件,包含
建立工作文件,选择数据类型,包含
选择数据类型,integer data,包含
integer data,用于时间序列数据,包含
建立工作文件,设置时间范围,包含
EViews软件操作,输入数据,包含
输入数据,命令框输入,包含
命令框输入,data 变量名列表,包含
data 变量名列表,输入或粘贴相应的数据,包含
EViews软件操作,数据排序,包含
数据排序,命令栏输入,包含
命令栏输入,Sort 变量名,包含
Sort 变量名,实现数据按变量递增排序,包含
EViews软件操作,打开数据组,包含
EViews软件操作,绘制数据图,包含
EViews软件操作,估计模型参数,包含
打开数据组,数据组操作步骤,包含
绘制数据图,数据图操作步骤,包含
估计模型参数,最小二乘法,包含
数据组操作步骤,按住ctrl键，点击变量名，双击打开group,包含
数据图操作步骤,在数据表中点View/graph/line/ok,包含
最小二乘法,点击Quick下拉菜单中的Estimate Equation,包含
按住ctrl键，点击变量名，双击打开group,查看数据表,包含
在数据表中点View/graph/line/ok,生成序列的线性图,包含
点击Quick下拉菜单中的Estimate Equation,键入模型公式，选择最小二乘法,包含
EViews软件操作,模型检验,包含
模型检验,经济意义检验,包含
模型检验,统计检验,包含
经济意义检验,检查参数估计的经济含义,包含
统计检验,拟合优度,包含
统计检验,F检验,包含
统计检验,t检验,包含
检查参数估计的经济含义,是否与理论和经验判断一致,包含
拟合优度,查看可决系数和修正可决系数 评估模型拟合程度,包含
F检验,检验模型整体显著性 判断所有解释变量联合对被解释变量的影响,包含
t检验,检验单个参数显著性 判断每个解释变量对被解释变量的影响,包含
EViews软件操作,预测,包含
EViews软件操作,估计模型参数,包含
预测,点预测和区间预测,包含
点预测和区间预测,使用估计模型,包含
使用估计模型,输入预测数据，生成预测结果,包含
多元线性回归模型,数学推演能力,考察
多元线性回归模型,数据处理能力,考察
多元线性回归模型的古典假定,逻辑思维能力,考察
多元线性回归模型的古典假定,经济理解能力,考察
多元线性回归模型参数的最小二乘估计,数学推演能力,考察
多元线性回归模型参数的最小二乘估计,软件使用能力,考察
参数最小二乘估计的性质,数学推演能力,考察
参数最小二乘估计的性质,逻辑思维能力,考察
OLS估计的分布性质,数学推演能力,考察
OLS估计的分布性质,实证分析能力,考察
随机扰动项方差的估计,数学推演能力,考察
随机扰动项方差的估计,数据处理能力,考察
拟合优度检验,实证分析能力,考察
拟合优度检验,数据处理能力,考察
回归方程的显著性检验（F-检验）,实证分析能力,考察
回归方程的显著性检验（F-检验）,数学推演能力,考察
回归参数的显著性检验（t-检验）,实证分析能力,考察
回归参数的显著性检验（t-检验）,数学推演能力,考察
多元线性回归模型参数的区间估计,实证分析能力,考察
多元线性回归模型参数的区间估计,数学推演能力,考察
多元线性回归模型的预测,实证分析能力,考察
多元线性回归模型的预测,软件使用能力,考察
EViews软件操作,软件使用能力,考察
EViews软件操作,数据处理能力,考察
