起始节点,目标节点,关系
Yt=-562.9074+5.3728xt+ut,广义差分的应用,包含
将数据进行修匀平滑 经济行为存在滞后性 蛛网现象,"自相关成因, 模型设定",包含
4-du<=DW<=4-d1 dl<=DW<=du,DW检验的区间,包含
BG（LM）检验的滞后长度可以人为指定 模型中存在滞后被解释变量时无法使用BG（LM）检验 模型中不包括截距项时无法使用BG（LM）检验,"BG检验的适用条件, 局限性",包含
错误。应该是残差对残差滞后值的散点图。,"散点图法, 自相关判断",包含
正确,LM检验与DW检验的差异,包含
其基本思想还是利用剩余去获得未知的ρ的信息，但是要通过逐次迭代去寻求更为满意的ρ的估计值，通常经过迭代很快能得到有较高精度的，用作广义差分对自相关的修正效果也较好。具体步骤：1.使用OLS法估计模型 2.利用残差作回归 3.用OLS法估计ρ1（hat），对模型进行广义差分 4.前一步估计的结果代入原回归方程式，可以求得新的残差et 5.利用残差作回归,科克伦-奥克特迭代法,包含
解答：DW检验存在一定的局限性：有五个前提条件存在两个不确定性区域，而且样本容量不宜过小。相比之下，BG检验很好地克服了一些DW检验的缺陷：即使回归中没有截距项或者解释变量中包含有滞后被解释变量时，依旧不影响BG检验的使用。BG检验也不再有无法判断是否存在自相关的区域，而且将自相关的形式推广到了更高阶的自回归形式。但不能因此认为，BG检验就优于DW检验。BG检验也有其缺陷：滞后长度p不易先验确定，而DW检验使用起来反而还更为方便。而且BG检验只能判断是否有自相关，无法像DW检验那样判断是正自相关还是负自相关。BG检验是一种大样本检验，与DW检验一样对样本容量有要求。所以说，两种检验各有优缺点，并无哪种检验优于另外一种。,DW和BG的对比,包含
"多重共线性, 异方差, 自相关, 虚拟变量陷阱",逻辑思维能力,考察
自相关系数取值范围,数学推演能力,考察
空间自相关的概念和影响,逻辑思维能力,考察
OLS估计偏差和方差,数学推演能力,考察
"杜宾-沃森统计量, LM检验",实证分析能力,考察
"样本容量, 解释变量的数量",数学推演能力,考察
广义差分法的适用性,逻辑推演能力,考察
"德宾两步法, 残差回归",数据处理能力,考察
广义差分法纠正自相关,数学推演能力,考察
"序列自相关, 经济行为的滞后性",实证分析能力,考察
"OLS估计的线性性, 无偏性, 一致性",逻辑思维能力,考察
"BG（LM）检验, DW检验, 图形法",软件操作能力,考察
"DW检验的不确定区域, 样本量要求",数学推演能力,考察
杜宾-沃森统计量解释,实证分析能力,考察
LM检验与DW检验的差异性,数据处理能力,考察
自相关的类型与修正,逻辑思维能力,考察
"模型设定偏误, 数据关系不合理",逻辑思维能力,考察
"经济行为滞后性, 系统惯性",实证分析能力,考察
"OLS方差性质, 自相关影响",数学推演能力,考察
ut的自相关形式,数学推演能力,考察
DW检验,软件操作能力,考察
自相关检验方法,逻辑思维能力,考察
"BG检验, AIC/SIC准则",软件操作能力,考察
"德宾两步法, 估计值性质",数据处理能力,考察
广义差分法的假设,逻辑思维能力,考察
广义差分的应用,实证分析能力,考察
"自相关成因, 模型设定",数学推演能力,考察
DW检验的区间,数据处理能力,考察
"BG检验的适用条件, 局限性",实证分析能力,考察
"散点图法, 自相关判断",软件操作能力,考察
LM检验与DW检验的差异,实证分析能力,考察
科克伦-奥克特迭代法,实证分析能力,考察
DW和BG的对比,软件操作能力,考察
