起始节点,目标节点,关系
Yt=-562.9074+5.3728xt+ut,广义差分的应用,包含
将数据进行修匀平滑 经济行为存在滞后性 蛛网现象,"自相关成因, 模型设定",包含
4-du<=DW<=4-d1 dl<=DW<=du,DW检验的区间,包含
BG（LM）检验的滞后长度可以人为指定 模型中存在滞后被解释变量时无法使用BG（LM）检验 模型中不包括截距项时无法使用BG（LM）检验,"BG检验的适用条件, 局限性",包含
错误。应该是残差对残差滞后值的散点图。,"散点图法, 自相关判断",包含
正确,LM检验与DW检验的差异,包含
其基本思想还是利用剩余去获得未知的ρ的信息，但是要通过逐次迭代去寻求更为满意的ρ的估计值，通常经过迭代很快能得到有较高精度的，用作广义差分对自相关的修正效果也较好。具体步骤：1.使用OLS法估计模型 2.利用残差作回归 3.用OLS法估计ρ1（hat），对模型进行广义差分 4.前一步估计的结果代入原回归方程式，可以求得新的残差et 5.利用残差作回归,科克伦-奥克特迭代法,包含
解答：DW检验存在一定的局限性：有五个前提条件存在两个不确定性区域，而且样本容量不宜过小。相比之下，BG检验很好地克服了一些DW检验的缺陷：即使回归中没有截距项或者解释变量中包含有滞后被解释变量时，依旧不影响BG检验的使用。BG检验也不再有无法判断是否存在自相关的区域，而且将自相关的形式推广到了更高阶的自回归形式。但不能因此认为，BG检验就优于DW检验。BG检验也有其缺陷：滞后长度p不易先验确定，而DW检验使用起来反而还更为方便。而且BG检验只能判断是否有自相关，无法像DW检验那样判断是正自相关还是负自相关。BG检验是一种大样本检验，与DW检验一样对样本容量有要求。所以说，两种检验各有优缺点，并无哪种检验优于另外一种。,DW和BG的对比,包含
"多重共线性, 异方差, 自相关, 虚拟变量陷阱",逻辑思维能力,考察
自相关系数取值范围,数学推演能力,考察
空间自相关的概念和影响,逻辑思维能力,考察
OLS估计偏差和方差,数学推演能力,考察
"杜宾-沃森统计量, LM检验",实证分析能力,考察
"样本容量, 解释变量的数量",数学推演能力,考察
广义差分法的适用性,逻辑推演能力,考察
"德宾两步法, 残差回归",数据处理能力,考察
广义差分法纠正自相关,数学推演能力,考察
"序列自相关, 经济行为的滞后性",实证分析能力,考察
"OLS估计的线性性, 无偏性, 一致性",逻辑思维能力,考察
"BG（LM）检验, DW检验, 图形法",软件操作能力,考察
"DW检验的不确定区域, 样本量要求",数学推演能力,考察
杜宾-沃森统计量解释,实证分析能力,考察
LM检验与DW检验的差异性,数据处理能力,考察
自相关的类型与修正,逻辑思维能力,考察
"模型设定偏误, 数据关系不合理",逻辑思维能力,考察
"经济行为滞后性, 系统惯性",实证分析能力,考察
"OLS方差性质, 自相关影响",数学推演能力,考察
ut的自相关形式,数学推演能力,考察
DW检验,软件操作能力,考察
自相关检验方法,逻辑思维能力,考察
"BG检验, AIC/SIC准则",软件操作能力,考察
"德宾两步法, 估计值性质",数据处理能力,考察
广义差分法的假设,逻辑思维能力,考察
广义差分的应用,实证分析能力,考察
"自相关成因, 模型设定",数学推演能力,考察
DW检验的区间,数据处理能力,考察
"BG检验的适用条件, 局限性",实证分析能力,考察
"散点图法, 自相关判断",软件操作能力,考察
LM检验与DW检验的差异,实证分析能力,考察
科克伦-奥克特迭代法,实证分析能力,考察
DW和BG的对比,软件操作能力,考察
多重共线性,包含,定义
定义,包含,多重共线性概念
多重共线性概念,包含,解释
解释,包含,多重共线性指多个自变量之间存在高度相关性，导致模型参数估计不稳定。
多重共线性,包含,定义
定义,包含,多重共线性概念
多重共线性概念,包含,解释
解释,包含,无多重共线性指解释变量之间不存在完全或不完全的线性关系，并非不存在非线性关系
无多重共线性指解释变量之间不存在完全或不完全的线性关系，并非不存在非线性关系,包含,"Rxixj=0,毫无线性关系 Rxixj=1,完全共线性 0<Rxixj<1,存在一定线性关系"
多重共线性,包含,定义
定义,包含,影响
影响,包含,会增加回归模型参数估计的标准误差，从而影响预测的准确性。
多重共线性,包含,定义
定义,包含,公式
公式,包含,$\text{Var}(\hat{\beta_j}) = \sigma^2 \left( X'X \right)^{-1}_{jj}$
$\text{Var}(\hat{\beta_j}) = \sigma^2 \left( X'X \right)^{-1}_{jj}$,包含,此公式表明自变量之间的相关性会导致回归系数的方差增大，进而影响模型的估计结果。
多重共线性,包含,原因
原因,包含,变量间相关性
变量间相关性,包含,解释
解释,包含,当自变量之间高度相关时，难以分离它们对因变量的独立影响。
多重共线性,包含,原因
原因,包含,公式
公式,包含,"$r_{xy} = \frac{cov(X, Y)}{\sigma_X \sigma_Y}$"
"$r_{xy} = \frac{cov(X, Y)}{\sigma_X \sigma_Y}$",包含,相关系数 $r_{xy}$ 衡量了两个变量之间的线性关系，接近1或-1表示高度相关。
多重共线性,包含,原因
原因,包含,样本量不足
样本量不足,包含,解释
解释,包含,样本量不足样本量过小可能无法准确捕捉变量间的真实关系，导致估计不稳定。
多重共线性,包含,原因
原因,包含,截面数据建模缺陷
截面数据建模缺陷,包含,解释
解释,包含,截面数据许多变量变化与发展规模有关，呈现共同增长的趋势
多重共线性,包含,后果
后果,包含,模型不稳定
模型不稳定,包含,解释
解释,包含,模型对数据的小变化极为敏感，导致预测不可靠。
多重共线性,包含,后果
后果,包含,预测能力降低
预测能力降低,包含,解释
解释,包含,多重共线性导致模型在新数据上的表现较差。
不完全多重共线性,包含,定义
定义,包含,不完全的多重共线性是指解释变量之间存在近似线性关系，但不是完全线性关系。
不完全多重共线性,包含,定义
定义,包含,"关系公式：对于解释变量 X1, X2,..., Xk，存在非零数 λ1, λ2,..., λk 使得 X1 ≈ λ2 X2 + λ3 X3 + ... + v_i。"
不完全多重共线性,包含,定义
定义,包含,在这种情况下，可以用普通最小二乘法（OLS）来估计回归系数，但估计值可能不稳定。
不完全多重共线性,包含,原因
原因,包含,经济变量的共同趋势
经济变量的共同趋势,包含,经济变量如收入和消费随时间增长，导致高度相关。
不完全多重共线性,包含,原因
原因,包含,滞后变量的使用
滞后变量的使用,包含,模型中引入解释变量的滞后变量。
不完全多重共线性,包含,原因
原因,包含,截面数据的相关性
截面数据的相关性,包含,如资本和劳动力在经济规模增长时的相关性。
不完全多重共线性,包含,原因
原因,包含,样本量有限
样本量有限,包含,样本数据有限且变量范围窄时更易出现共线性。
不完全多重共线性,包含,后果
后果,包含,参数估计不稳定
